system:index,cluster,.geo
159,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.82113248017424,-2.0115974157288434]}"
160,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.03815172997197,2.8464916407895284]}"
161,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.70148145861138,-0.5284788816475139]}"
162,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.24890564419012,-0.6129205183547484]}"
163,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.30460119180552,0.09495192553143372]}"
164,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.5272082934922,-0.6623278589813228]}"
165,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.51428170196458,0.5126685326470115]}"
166,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.65744113828026,-1.8849349606679908]}"
167,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.68079733566738,0.9151137799325575]}"
168,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.4059128587268,0.5746522872512587]}"
169,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.21531780112774,-0.5778862222740875]}"
170,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.67343572461944,-0.22664494618335418]}"
171,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.28593453102324,1.3822377276747089]}"
172,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.94939360561911,-0.2517977741387014]}"
173,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.16106870653063,1.038182973856932]}"
174,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.89998626499253,0.8333670890776812]}"
175,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.68134547340155,-0.29132364663996047]}"
176,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.25878711231543,3.591195011324612]}"
177,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.7956066032597,-0.7314981358585264]}"
178,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.40753440052006,-2.237972867326963]}"
179,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.17127748079663,1.825107162745633]}"
180,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.58003380648027,0.4470915169062861]}"
181,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.61504523115167,0.6806534907773623]}"
182,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.5689038455209,5.358181175187711]}"
183,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.67972393160828,1.9526679330906047]}"
184,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.58218061459846,0.9187070410690357]}"
185,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.0218298374921,0.9824874262415211]}"
186,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.25664030419725,0.2243093264446454]}"
187,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.40321791287444,-1.3001317107061823]}"
188,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.35076544884556,-3.0078290658173934]}"
189,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.19735149544536,-2.79043676706047]}"
190,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.22682081104632,1.4316450683012825]}"
191,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.68171852236075,-3.4902243733895766]}"
192,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.11290985873812,5.174924857227328]}"
193,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.6948430740726,4.6871396579504285]}"
194,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[109.34590082346577,-0.3865450667566295]}"
195,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.58899408791221,-2.9656082474637753]}"
196,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.44780637093973,2.817745551697704]}"
197,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.33030215749504,0.6420259335602223]}"
198,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.20795619007981,1.5232732272814733]}"
199,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.5667112945842,-1.299233395422064]}"
200,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.25392248693562,-2.175090797438596]}"
201,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[113.0703159914253,1.9877022291712656]}"
202,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[109.69085389256766,1.535849641259147]}"
203,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[113.91473235849764,3.085443506365321]}"
204,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.26579854581341,0.3231240076977926]}"
205,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[113.75932381434497,3.607364686438763]}"
206,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.87126304730997,5.505504881783312]}"
207,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.34537555714084,-2.6242484394983574]}"
208,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.76778170086125,5.712117397130802]}"
209,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.16481418503282,0.1452575814421273]}"
210,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.86479975154616,3.9056053607664443]}"
211,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.39855124767887,-2.404161194889074]}"
212,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.53796520549237,-2.784148560071632]}"
213,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.01913489163974,5.350994652914755]}"
214,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.08074559728479,-3.1803056003683423]}"
215,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.76236893774728,-0.31198489817470954]}"
216,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.66714751763061,-2.746419318138612]}"
